Customer ID,Recency,Frequency,Monetary,Cluster_Label
12346.0,326,12,77556.46,1
12608.0,405,1,415.79,0
12745.0,487,2,723.85,0
12746.0,541,1,254.55,0
12747.0,2,26,8898.48,1
12748.0,1,336,53539.64,1
12749.0,4,9,6897.36,1
12777.0,458,1,519.45,0
12819.0,458,1,540.52,0
12820.0,3,11,2689.52,1
12821.0,214,2,220.8,0
12822.0,71,2,948.88,2
12823.0,75,18,6501.5,1
12824.0,60,1,397.12,0
12825.0,521,2,518.63,0
12826.0,3,12,2800.75,1
12827.0,6,3,430.15000000000003,2
12828.0,3,6,1018.71,1
12829.0,337,3,385.3,0
12830.0,38,6,6814.64,1
12831.0,262,3,451.11,0
12832.0,32,2,383.03,2
12833.0,145,1,417.38,0
12834.0,283,1,312.38,0
12835.0,428,41,5996.83,1
12836.0,59,15,6559.7300000000005,1
12837.0,173,2,662.66,0
12838.0,34,10,2975.91,1
12839.0,3,26,9669.12,1
12840.0,144,7,4041.97,2
12841.0,5,40,6958.2,1
12842.0,70,4,1917.99,2
12843.0,66,30,6583.36,1
12844.0,29,4,648.6,2
12845.0,267,4,354.09,2
12846.0,682,1,15.58,0
12847.0,22,2,1609.0,2
12848.0,676,1,208.0,0
12849.0,31,6,3042.47,2
12850.0,446,1,330.0,0
12851.0,97,2,280.76,0
12852.0,295,1,311.55,0
12853.0,135,11,3907.5,2
12854.0,79,7,2970.9700000000003,2
12855.0,373,4,612.84,2
12856.0,8,6,2170.78,1
12857.0,211,6,3688.0,2
12858.0,383,1,147.27,0
12859.0,459,1,575.1,0
12860.0,693,1,54.22,0
12861.0,620,1,68.25,0
12862.0,426,2,984.62,0
12863.0,52,6,2792.5499999999997,2
12864.0,138,2,299.57,0
12867.0,26,13,7829.26,1
12868.0,186,8,2043.76,2
12869.0,682,1,337.66999999999996,0
12870.0,375,3,1676.95,2
12871.0,84,3,744.02,2
12872.0,327,12,3283.96,2
12873.0,282,3,2027.3,2
12875.0,143,5,1356.99,2
12877.0,4,20,2942.14,1
12878.0,236,2,854.99,2
12879.0,45,3,573.22,2
12880.0,382,2,640.13,0
12881.0,276,1,298.0,0
12882.0,9,2,1463.04,2
12883.0,25,4,703.47,2
12884.0,88,1,309.05,0
12885.0,63,3,1175.22,2
12886.0,68,2,1378.4,2
12887.0,384,1,222.4,0
12888.0,214,2,354.12,0
12889.0,381,4,385.46000000000004,0
12890.0,24,2,706.02,2
12891.0,186,11,840.5,2
12892.0,397,1,263.38,0
12893.0,31,1,176.55,0
12894.0,575,1,157.35,0
12895.0,42,2,372.8,2
12897.0,205,4,514.25,2
12898.0,464,2,296.21000000000004,0
12899.0,414,1,366.4,0
12900.0,422,1,340.33,0
12901.0,9,28,17654.54,1
12902.0,265,1,138.68,0
12903.0,429,1,833.53,0
12904.0,18,2,496.06,2
12905.0,577,2,1018.42,0
12906.0,12,5,2919.81,1
12907.0,396,2,508.91,0
12908.0,176,5,1776.0,2
12909.0,40,8,3103.19,1
12910.0,23,13,5796.52,1
12911.0,552,1,1651.72,0
12912.0,3,5,1662.3,1
12913.0,5,13,6283.24,1
12914.0,401,1,223.98,0
12915.0,149,4,975.1,2
12916.0,139,7,4479.73,2
12917.0,128,6,4359.2,2
12918.0,626,1,10953.5,2
12919.0,8,6,1335.19,1
12920.0,17,4,486.64,2
12921.0,9,74,35233.24,1
12922.0,161,1,405.38,0
12923.0,64,3,770.42,2
12924.0,88,12,2469.4,2
12925.0,5,3,729.3299999999999,2
12926.0,411,4,1523.97,2
12927.0,395,1,197.31,0
12928.0,35,12,4304.89,1
12929.0,312,1,117.85,0
12930.0,78,2,415.8,2
12931.0,22,57,92347.34,1
12932.0,539,8,1698.56,2
12933.0,24,8,1636.6299999999999,2
12934.0,737,1,181.65,0
12935.0,2,15,4243.86,1
12936.0,17,4,1063.9,2
12937.0,15,9,3097.61,1
12938.0,26,1,114.14,0
12939.0,64,20,25264.8,1
12940.0,55,2,899.69,2
12941.0,724,1,377.49,0
12942.0,131,3,675.6,2
12943.0,558,2,496.5,0
12944.0,36,2,604.51,2
12945.0,288,2,900.11,0
12946.0,437,1,324.45,0
12947.0,144,6,1603.99,2
12948.0,16,9,2317.43,1
12949.0,31,22,15526.7,1
12950.0,2,3,1843.0,1
12951.0,9,15,3213.7200000000003,1
12952.0,6,4,1387.79,2
12953.0,10,2,828.8100000000001,2
12954.0,639,1,162.45,0
12955.0,1,11,4757.16,1
12956.0,306,4,521.89,2
12957.0,10,13,8706.97,1
12958.0,400,2,467.34,0
12959.0,484,1,150.95,0
12960.0,414,4,1322.07,2
12961.0,379,1,211.99,0
12962.0,7,2,266.39,2
12963.0,8,12,3235.79,1
12964.0,437,1,132.24,0
12965.0,89,1,769.8100000000001,0
12966.0,10,1,160.18,0
12967.0,358,3,2938.52,2
12968.0,112,1,135.95,0
12969.0,603,1,122.45,0
12970.0,7,10,1453.6,1
12971.0,4,116,15704.6,1
12972.0,414,4,1161.2,2
12973.0,414,1,385.55,0
12974.0,198,2,408.95,0
12975.0,437,6,2100.09,2
12976.0,212,8,3156.38,2
12977.0,156,4,513.88,2
12978.0,385,5,2502.82,2
12980.0,158,21,16245.78,1
12981.0,30,2,372.21999999999997,2
12982.0,243,8,2744.81,2
12983.0,598,1,490.08000000000004,0
12984.0,19,1,97.5,0
12985.0,1,2,1239.38,1
12986.0,429,10,2729.84,2
12987.0,74,5,1312.21,2
12988.0,292,1,505.82,0
12989.0,3,33,13551.75,1
12990.0,31,7,955.5,2
12991.0,23,3,764.82,2
12992.0,725,1,93.35000000000001,0
12993.0,23,8,1259.6299999999999,2
12994.0,4,3,974.4200000000001,2
12995.0,85,1,211.32,0
12996.0,376,1,355.5,0
12997.0,22,8,2110.91,1
